# sinyal uji sintetis - bukan rekaman pasien - 250 Hz, target ~78 BPM
time_s,mV
2.5160,-0.0311
2.5200,-0.0761
2.5240,-0.0945
2.5280,0.0230
2.5320,0.3846
2.5360,0.9018
2.5400,0.9979
2.5440,0.5229
2.5480,0.1036
2.5520,-0.0388
2.5560,-0.1205
2.5600,-0.1621
2.5640,-0.1636
2.5680,-0.0965
2.5720,-0.0480
2.5760,-0.0115
2.5800,-0.0021
2.5840,-0.0144
2.5880,0.0115
2.5920,0.0072
2.5960,-0.0140
2.6000,0.0060
2.6040,-0.0010
2.6080,0.0036
2.6120,0.0030
2.6160,-0.0119
2.6200,-0.0015
2.6240,0.0123
2.6280,-0.0039
2.6320,-0.0069
2.6360,-0.0086
2.6400,-0.0060
2.6440,0.0089
2.6480,0.0234
2.6520,0.0187
2.6560,0.0247
2.6600,0.0510
2.6640,0.0425
2.6680,0.0584
2.6720,0.0889
2.6760,0.1134
2.6800,0.1282
2.6840,0.1559
2.6880,0.1969
2.6920,0.2242
2.6960,0.2358
2.7000,0.2633
2.7040,0.2721
2.7080,0.2837
2.7120,0.2742
2.7160,0.2617
2.7200,0.2401
2.7240,0.2266
2.7280,0.2012
2.7320,0.1578
2.7360,0.1387
2.7400,0.0990
2.7440,0.0818
2.7480,0.0669
2.7520,0.0564
2.7560,0.0282
2.7600,0.0209
2.7640,0.0158
2.7680,-0.0028
2.7720,0.0059
2.7760,-0.0019
2.7800,0.0050
2.7840,-0.0079
2.7880,-0.0152
2.7920,0.0007
2.7960,0.0023
2.8000,-0.0043
2.8040,0.0072
2.8080,-0.0022
2.8120,-0.0048
2.8160,0.0038
2.8200,-0.0125
2.8240,-0.0054
2.8280,-0.0002
2.8320,0.0068
2.8360,-0.0013
2.8400,0.0025
2.8440,-0.0052
2.8480,0.0024
2.8520,0.0133
2.8560,-0.0055
2.8600,0.0189
2.8640,-0.0052
2.8680,0.0001
2.8720,0.0014
2.8760,0.0082
2.8800,-0.0099
2.8840,-0.0168
2.8880,0.0048
2.8920,0.0064
2.8960,0.0050
2.9000,0.0210
2.9040,0.0016
2.9080,0.0020
2.9120,0.0074
2.9160,0.0030
2.9200,0.0133
2.9240,-0.0099
2.9280,-0.0030
2.9320,-0.0276
2.9360,0.0065
2.9400,-0.0030
2.9440,0.0074
2.9480,0.0172
2.9520,-0.0000
2.9560,-0.0020
2.9600,-0.0040
2.9640,-0.0067
2.9680,-0.0050
2.9720,0.0051
2.9760,0.0003
2.9800,0.0005
2.9840,-0.0014
2.9880,0.0073
2.9920,0.0040
2.9960,-0.0011
3.0000,0.0053
3.0040,-0.0012
3.0080,-0.0092
3.0120,0.0116
3.0160,0.0037
3.0200,-0.0077
3.0240,0.0086
3.0280,0.0028
3.0320,-0.0125
3.0360,0.0129
3.0400,0.0027
3.0440,0.0071
3.0480,0.0016
3.0520,-0.0012
3.0560,-0.0124
3.0600,0.0078
3.0640,0.0002
3.0680,-0.0023
3.0720,0.0028
3.0760,0.0006
3.0800,0.0054
3.0840,-0.0030
3.0880,-0.0003
3.0920,-0.0171
3.0960,-0.0034
3.1000,0.0054
3.1040,0.0107
3.1080,-0.0029
3.1120,-0.0010
3.1160,0.0127
3.1200,-0.0026
3.1240,0.0059
3.1280,0.0134
3.1320,0.0003
3.1360,0.0098
3.1400,-0.0057
3.1440,0.0017
3.1480,-0.0006
3.1520,0.0009
3.1560,0.0090
3.1600,0.0191
3.1640,-0.0053
3.1680,-0.0046
3.1720,0.0040
3.1760,-0.0084
3.1800,0.0041
3.1840,0.0049
3.1880,-0.0007
3.1920,0.0091
3.1960,0.0008
3.2000,0.0360
3.2040,0.0437
3.2080,0.0816
3.2120,0.1077
3.2160,0.1165
3.2200,0.1128
3.2240,0.0783
3.2280,0.0440
3.2320,0.0281
3.2360,0.0226
3.2400,0.0035
3.2440,0.0039
3.2480,0.0102
3.2520,0.0022
3.2560,-0.0103
3.2600,0.0199
3.2640,0.0177
3.2680,-0.0159
3.2720,-0.0003
3.2760,0.0031
3.2800,0.0049
3.2840,-0.0144
3.2880,-0.0668
3.2920,-0.1050
3.2960,-0.0294
3.3000,0.2452
3.3040,0.7497
3.3080,1.0390
3.3120,0.6773
3.3160,0.1822
3.3200,-0.0110
3.3240,-0.0997
3.3280,-0.1590
3.3320,-0.1820
3.3360,-0.1325
3.3400,-0.0616
3.3440,-0.0182
3.3480,-0.0089
3.3520,-0.0004
3.3560,0.0060
3.3600,0.0095
3.3640,0.0136
3.3680,-0.0063
3.3720,-0.0033
3.3760,-0.0198
3.3800,0.0152
3.3840,-0.0057
3.3880,-0.0001
3.3920,0.0045
3.3960,-0.0103
3.4000,0.0048
3.4040,0.0017
3.4080,-0.0114
3.4120,0.0077
3.4160,0.0181
3.4200,-0.0016
3.4240,0.0266
3.4280,0.0313
3.4320,0.0459
3.4360,0.0616
3.4400,0.0883
3.4440,0.0994
3.4480,0.1346
3.4520,0.1530
3.4560,0.1915
3.4600,0.2075
3.4640,0.2385
3.4680,0.2737
3.4720,0.2773
3.4760,0.2785
3.4800,0.2684
3.4840,0.2608
3.4880,0.2511
3.4920,0.2337
3.4960,0.2024
3.5000,0.1740
3.5040,0.1403
3.5080,0.1239
3.5120,0.0851
3.5160,0.0624
3.5200,0.0561
3.5240,0.0355
3.5280,0.0219
3.5320,0.0116
3.5360,0.0085
3.5400,0.0117
3.5440,0.0069
3.5480,-0.0072
3.5520,0.0048
3.5560,0.0022
3.5600,-0.0076
3.5640,0.0064
3.5680,-0.0021
3.5720,-0.0026
3.5760,0.0064
3.5800,0.0106
3.5840,-0.0055
3.5880,0.0035
3.5920,-0.0070
3.5960,0.0185
3.6000,-0.0039
3.6040,0.0096
3.6080,-0.0052
3.6120,0.0065
3.6160,0.0178
3.6200,-0.0203
3.6240,-0.0035
3.6280,0.0040
3.6320,-0.0007
3.6360,-0.0053
3.6400,0.0172
3.6440,0.0006
3.6480,-0.0132
3.6520,0.0068
3.6560,-0.0138
3.6600,0.0092
3.6640,-0.0046
3.6680,0.0012
3.6720,0.0101
3.6760,0.0009
3.6800,-0.0111
3.6840,-0.0136
3.6880,0.0095
3.6920,0.0059
3.6960,-0.0065
3.7000,0.0069
3.7040,0.0040
3.7080,0.0052
3.7120,-0.0181
3.7160,-0.0024
3.7200,0.0072
3.7240,0.0059
3.7280,0.0071
3.7320,-0.0197
3.7360,0.0014
3.7400,0.0039
3.7440,0.0204
3.7480,-0.0076
3.7520,-0.0026
3.7560,0.0003
3.7600,0.0071
3.7640,-0.0035
3.7680,0.0092
3.7720,-0.0063
3.7760,0.0021
3.7800,-0.0042
3.7840,0.0013
3.7880,-0.0055
3.7920,-0.0128
3.7960,0.0087
3.8000,0.0024
3.8040,-0.0045
3.8080,0.0016
3.8120,0.0079
3.8160,-0.0078
3.8200,-0.0009
3.8240,0.0043
3.8280,0.0042
3.8320,-0.0027
3.8360,-0.0169
3.8400,0.0099
3.8440,0.0026
3.8480,0.0001
3.8520,-0.0022
3.8560,0.0021
3.8600,-0.0034
3.8640,-0.0082
3.8680,-0.0059
3.8720,-0.0048
3.8760,-0.0049
3.8800,-0.0093
3.8840,0.0051
3.8880,-0.0105
3.8920,0.0053
3.8960,-0.0081
3.9000,0.0028
3.9040,0.0110
3.9080,0.0016
3.9120,-0.0058
3.9160,0.0004
3.9200,0.0012
3.9240,-0.0139
3.9280,-0.0049
3.9320,0.0013
3.9360,-0.0038
3.9400,0.0006
3.9440,0.0059
3.9480,0.0062
3.9520,0.0075
3.9560,0.0057
3.9600,0.0011
3.9640,0.0098
3.9680,0.0216
3.9720,0.0447
3.9760,0.0762
3.9800,0.0921
3.9840,0.1171
3.9880,0.1120
3.9920,0.0793
3.9960,0.0559
4.0000,0.0340
4.0040,0.0119
4.0080,0.0215
4.0120,-0.0194
4.0160,-0.0013
4.0200,-0.0145
4.0240,0.0079
4.0280,0.0212
4.0320,-0.0200
4.0360,0.0010
4.0400,0.0042
4.0440,-0.0025
4.0480,0.0031
4.0520,-0.0298
4.0560,-0.0418
4.0600,-0.0904
4.0640,-0.0657
4.0680,0.1198
4.0720,0.5919
4.0760,1.0245
4.0800,0.8416
4.0840,0.3139
4.0880,0.0141
4.0920,-0.0725
4.0960,-0.1439
4.1000,-0.1740
4.1040,-0.1527
4.1080,-0.0776
4.1120,-0.0220
4.1160,-0.0050
4.1200,0.0090
4.1240,0.0158
4.1280,-0.0073
4.1320,-0.0154
4.1360,0.0069
4.1400,0.0122
4.1440,0.0074
4.1480,0.0065
4.1520,-0.0049
4.1560,-0.0056
4.1600,0.0074
4.1640,-0.0068
4.1680,-0.0136
4.1720,-0.0064
4.1760,0.0227
4.1800,0.0200
4.1840,0.0020
4.1880,0.0059
4.1920,0.0197
4.1960,0.0204
4.2000,0.0484
4.2040,0.0522
4.2080,0.0627
4.2120,0.1041
4.2160,0.1146
4.2200,0.1491
4.2240,0.1765
4.2280,0.2030
4.2320,0.2346
4.2360,0.2486
4.2400,0.2555
4.2440,0.2611
4.2480,0.2690
4.2520,0.2651
4.2560,0.2555
4.2600,0.2343
4.2640,0.2121
4.2680,0.1798
4.2720,0.1432
4.2760,0.1156
4.2800,0.0786
4.2840,0.0716
4.2880,0.0580
4.2920,0.0432
4.2960,0.0262
4.3000,0.0170
4.3040,0.0196
4.3080,0.0078
4.3120,0.0107
4.3160,0.0075
4.3200,0.0034
4.3240,0.0114
4.3280,-0.0041
4.3320,-0.0026
4.3360,-0.0063
4.3400,-0.0063
4.3440,0.0125
4.3480,0.0141
4.3520,0.0002
4.3560,0.0045
4.3600,0.0094
4.3640,0.0065
4.3680,0.0096
4.3720,-0.0101
4.3760,-0.0051
4.3800,0.0036
4.3840,0.0115
4.3880,0.0008
4.3920,-0.0069
4.3960,-0.0028
4.4000,-0.0053
4.4040,-0.0069
4.4080,0.0120
4.4120,-0.0050
4.4160,0.0002
4.4200,0.0173
4.4240,0.0095
4.4280,0.0027
4.4320,-0.0049
4.4360,0.0033
4.4400,0.0130
4.4440,0.0050
4.4480,0.0101
4.4520,0.0008
4.4560,0.0041
4.4600,-0.0016
4.4640,0.0034
4.4680,0.0104
4.4720,-0.0114
4.4760,-0.0005
4.4800,0.0019
4.4840,-0.0046
4.4880,-0.0025
4.4920,0.0063
4.4960,0.0160
4.5000,0.0050
4.5040,0.0026
4.5080,-0.0124
4.5120,0.0154
4.5160,0.0006
4.5200,-0.0003
4.5240,-0.0089
4.5280,-0.0005
4.5320,-0.0088
4.5360,0.0006
4.5400,0.0037
4.5440,0.0002
4.5480,0.0022
4.5520,-0.0068
4.5560,0.0114
4.5600,-0.0052
4.5640,-0.0145
4.5680,-0.0015
4.5720,-0.0061
4.5760,-0.0081
4.5800,-0.0028
4.5840,0.0023
4.5880,-0.0095
4.5920,-0.0011
4.5960,0.0114
4.6000,0.0055
4.6040,-0.0012
4.6080,0.0010
4.6120,-0.0010
4.6160,-0.0004
4.6200,0.0059
4.6240,-0.0007
4.6280,-0.0192
4.6320,-0.0002
4.6360,-0.0071
4.6400,0.0052
4.6440,-0.0049
4.6480,0.0012
4.6520,0.0174
4.6560,-0.0084
4.6600,-0.0090
4.6640,-0.0113
4.6680,-0.0192
4.6720,-0.0150
4.6760,0.0029
4.6800,-0.0051
4.6840,-0.0149
4.6880,-0.0119
4.6920,0.0049
4.6960,-0.0062
4.7000,-0.0029
4.7040,0.0026
4.7080,0.0109
4.7120,0.0155
4.7160,0.0083
4.7200,0.0013
4.7240,0.0021
4.7280,0.0168
4.7320,0.0187
4.7360,0.0160
4.7400,0.0426
4.7440,0.0702
4.7480,0.0986
4.7520,0.1136
4.7560,0.1062
4.7600,0.0918
4.7640,0.0532
4.7680,0.0468
4.7720,0.0216
4.7760,-0.0029
4.7800,0.0133
4.7840,0.0077
4.7880,-0.0151
4.7920,0.0148
4.7960,0.0065
4.8000,0.0165
4.8040,-0.0098
4.8080,0.0042
4.8120,0.0034
4.8160,0.0010
4.8200,-0.0052
4.8240,-0.0257
4.8280,-0.0950
4.8320,-0.0969
4.8360,0.0296
4.8400,0.4137
4.8440,0.9351
4.8480,0.9716
4.8520,0.4693
4.8560,0.0903
4.8600,-0.0522
4.8640,-0.1284
4.8680,-0.1688
4.8720,-0.1566
4.8760,-0.0975
4.8800,-0.0415
4.8840,0.0023
4.8880,-0.0065
4.8920,0.0050
4.8960,0.0092
4.9000,-0.0021
4.9040,0.0066
4.9080,-0.0089
4.9120,0.0081
4.9160,0.0016
4.9200,-0.0126
4.9240,0.0055
4.9280,-0.0069
4.9320,0.0107
4.9360,-0.0047
4.9400,0.0000
4.9440,0.0046
4.9480,0.0013
4.9520,0.0085
4.9560,0.0058
4.9600,0.0211
4.9640,0.0235
4.9680,0.0357
4.9720,0.0258
4.9760,0.0746
4.9800,0.0867
4.9840,0.0968
4.9880,0.1392
4.9920,0.1713
4.9960,0.2053
5.0000,0.2155
5.0040,0.2603
5.0080,0.2647
5.0120,0.2962
5.0160,0.2787
5.0200,0.2799
5.0240,0.2582
5.0280,0.2322
5.0320,0.2248
5.0360,0.1951
5.0400,0.1708
5.0440,0.1367
5.0480,0.0985
5.0520,0.0662
5.0560,0.0543
5.0600,0.0378
5.0640,0.0239
5.0680,0.0255
5.0720,0.0164
5.0760,0.0067
5.0800,0.0069
5.0840,0.0022
5.0880,0.0037
5.0920,0.0071
5.0960,0.0083
5.1000,-0.0052
5.1040,-0.0119
5.1080,0.0115
5.1120,0.0010
5.1160,0.0089
5.1200,-0.0131
5.1240,-0.0026
5.1280,0.0002
5.1320,-0.0115
5.1360,-0.0041
5.1400,0.0058
5.1440,0.0086
5.1480,0.0128
5.1520,-0.0069
5.1560,-0.0112
5.1600,0.0042
5.1640,0.0075
5.1680,0.0015
5.1720,-0.0104
5.1760,0.0063
5.1800,0.0063
5.1840,0.0044
5.1880,-0.0039
5.1920,0.0024
5.1960,0.0063
5.2000,-0.0045
5.2040,-0.0147
5.2080,0.0026
5.2120,0.0038
5.2160,0.0001
5.2200,0.0071
5.2240,-0.0047
5.2280,-0.0007
5.2320,-0.0024
5.2360,0.0046
5.2400,0.0128
5.2440,-0.0020
5.2480,0.0164
5.2520,0.0122
5.2560,0.0063
5.2600,0.0047
5.2640,0.0142
5.2680,-0.0014
5.2720,-0.0009
5.2760,-0.0085
5.2800,0.0038
5.2840,0.0108
5.2880,0.0043
5.2920,0.0034
5.2960,-0.0016
5.3000,0.0014
5.3040,-0.0114
5.3080,0.0084
5.3120,-0.0033
5.3160,-0.0088
5.3200,-0.0060
5.3240,-0.0066
5.3280,0.0068
5.3320,0.0085
5.3360,-0.0109
5.3400,0.0074
5.3440,0.0071
5.3480,-0.0046
5.3520,-0.0119
5.3560,-0.0060
5.3600,-0.0051
5.3640,0.0027
